
aller Imparfait,j'allais,tu allais,il allait,nous allions,vous alliez,ils allaient
aller Plus-que-parfait,j'étais allé,tu étais allé,il était allé,nous étions allés,vous étiez allés,ils étaient allés
aller Futur Simple,j'irai,tu iras,il ira,nous irons,vous irez,ils iront
aller Futur Antérieur,je serai allé,tu seras allé,il sera allé,nous serons allés,vous serez allés,ils seront allés
aller Conditionnel Présent,j'irais,tu irais,il irait,nous irions,vous iriez,ils iraient
aller Conditionnel Passé,je serais allé,tu serais allé,il serait allé,nous serions allés,vous seriez allés,ils seraient allés
aller Subjonctif Présent,que j'aille,que tu ailles,qu'il aille,que nous allions,que vous alliez,qu'ils aillent
aller Subjonctif Passé,que je sois allé,que tu sois allé,qu'il soit allé,que nous soyons allés,que vous soyez allés,qu'ils soient allés
aller Subjonctif Imparfait,que j'allasse,que tu allasses,qu'il allât,que nous allassions,que vous allassiez,qu'ils allassent
aller Subjonctif Plus-que-parfait,que je fusse allé,que tu fusses allé,qu'il fût allé,que nous fussions allés,que vous fussiez allés,qu'ils fussent allés
aller Passé simple,j'allai,tu allas,il alla,nous allâmes,vous allâtes,ils allèrent
aller Passé Antérieur,je fus allé,tu fus allé,il fut allé,nous fûmes allés,vous fûtes allés,ils furent allés
aller Impératif Présent,,tu va,,nous allons,vous allez,
aller Infinitif Présent,j'aller,tu aller,il aller,nous aller,vous aller,ils aller
aller Participe Présent,j'allant,tu allant,il allant,nous allant,vous allant,ils allant
aller Participe Passé,j'allé,tu allé,il allé,nous allé,vous allé,ils allé

tomber Présent,je tombe,tu tombes,il tombe,nous tombons,vous tombez,ils tombent
tomber Passé Composé,je suis tombé,tu es tombé,il est tombé,nous sommes tombés,vous êtes tombés,ils sont tombés
tomber Imparfait,je tombais,tu tombais,il tombait,nous tombions,vous tombiez,ils tombaient
tomber Plus-que-parfait,j'étais tombé,tu étais tombé,il était tombé,nous étions tombés,vous étiez tombés,ils étaient tombés
tomber Futur Simple,je tomberai,tu tomberas,il tombera,nous tomberons,vous tomberez,ils tomberont
tomber Futur Antérieur,je serai tombé,tu seras tombé,il sera tombé,nous serons tombés,vous serez tombés,ils seront tombés
tomber Conditionnel Présent,je tomberais,tu tomberais,il tomberait,nous tomberions,vous tomberiez,ils tomberaient
