ortho	lemme	cgram
a	a	NAM
a	avoir	AUX
a	avoir	VER
a capella	a capella	ADV
a cappella	a cappella	ADV
a contrario	a contrario	ADV
a fortiori	a fortiori	ADV
a giorno	a giorno	ADV
a jeun	à jeun	ADV
a l'instar	a l'instar	PRE
a posteriori	a posteriori	ADV
a priori	a priori	ADV
a priori	a priori	NAM
aa	aa	NAM
ab absurdo	ab absurdo	ADV
ab initio	ab initio	ADV
ab ovo	ab ovo	ADV
abaca	abaca	NAM
abaissa	abaisser	VER
abaissai	abaisser	VER
abaissaient	abaisser	VER
abaissait	abaisser	VER
abaissant	abaissant	ADJ
abaissant	abaisser	VER
abaissante	abaissant	ADJ
abaisse	abaisse	NAM
abaisse	abaisser	VER
abaisse-langue	abaisse-langue	NAM
abaissement	abaissement	NAM
abaissent	abaisser	VER
abaisser	abaisser	VER
abaissera	abaisser	VER
abaisserai	abaisser	VER
abaisseraient	abaisser	VER
abaisserais	abaisser	VER
abaisserait	abaisser	VER
abaisses	abaisser	VER
abaissez	abaisser	VER
abaissons	abaisser	VER
abaissèrent	abaisser	VER
abaissé	abaisser	VER
abaissé	abaissé	ADJ
abaissée	abaisser	VER
abaissée	abaissé	ADJ
abaissées	abaisser	VER
abaissées	abaissé	ADJ
abaissés	abaisser	VER
abaissés	abaissé	ADJ
abalone	abalone	NAM
abalones	abalone	NAM
abandon	abandon	NAM
abandonna	abandonner	VER
abandonnai	abandonner	VER
abandonnaient	abandonner	VER
abandonnais	abandonner	VER
abandonnait	abandonner	VER
abandonnant	abandonner	VER
abandonnas	abandonner	VER
abandonne	abandonner	VER
abandonnent	abandonner	VER
abandonner	abandonner	VER
abandonnera	abandonner	VER
abandonnerai	abandonner	VER
abandonneraient	abandonner	VER
abandonnerais	abandonner	VER
abandonnerait	abandonner	VER
abandonneras	abandonner	VER
abandonnerez	abandonner	VER
abandonneriez	abandonner	VER
abandonnerions	abandonner	VER
abandonnerons	abandonner	VER
abandonneront	abandonner	VER
abandonnes	abandonner	VER
abandonneurs	abandonneur	NAM
abandonnez	abandonner	VER
abandonniez	abandonner	VER
abandonnions	abandonner	VER
abandonnique	abandonnique	ADJ
abandonnons	abandonner	VER
abandonnâmes	abandonner	VER
abandonnât	abandonner	VER
abandonnèrent	abandonner	VER
abandonné	abandonner	VER
abandonné	abandonné	ADJ
abandonnée	abandonner	VER
abandonnée	abandonné	ADJ
abandonnées	abandonner	VER
abandonnées	abandonné	ADJ
abandonnés	abandonner	VER
abandonnés	abandonné	ADJ
abandons	abandon	NAM
abaque	abaque	NAM
abasourdi	abasourdi	ADJ
abasourdi	abasourdir	VER
abasourdie	abasourdi	ADJ
abasourdie	abasourdir	VER
abasourdir	abasourdir	VER
abasourdis	abasourdi	ADJ
abasourdis	abasourdir	VER
abasourdissant	abasourdissant	ADJ
abasourdissants	abasourdissant	ADJ
abat	abat	NAM
abat	abattre	VER
abat-jour	abat-jour	NAM
abat-son	abat-son	NAM
abatage	abatage	NAM
abatis	abatis	NAM
abats	abat	NAM
abats	abattre	VER
