estou,estás,está,estamos,estais,estão estava,estavas,estava,estávamos,estáveis,estavam estarei,estarás,estará,estaremos,estareis,estarão
aumento,aumentas,aumenta,aumentamos,aumentais,aumentam aumentava,aumentavas,aumentava,aumentávamos,aumentáveis,aumentavam aumentarei,aumentarás,aumentará,aumentaremos,aumentareis,aumentarão
digo,dizes,diz,dizemos,dizeis,dizem dizia,dizias,dizia,dizíamos,dizíeis,diziam direi,dirás,dirá,diremos,direis,dirão
faço,fazes,faz,fazemos,fazeis,fazem fazia,fazias,fazia,fazíamos,fazíeis,faziam farei,farás,fará,faremos,fareis,farão
leio,lês,lê,lemos,ledes,lêem lia,lias,lia,líamos,líeis,liam lerei,lerás,lerá,leremos,lereis,lerão
nasço,nasces,nasce,nascemos,nasceis,nascem nascia,nascias,nascia,nascíamos,nascíeis,nasciam nascerei,nascerás,nascerá,nasceremos,nascereis,nascerão
junto,juntas,junta,juntamos,juntais,juntam juntava,juntavas,juntava,juntávamos,juntáveis,juntavam juntarei,juntarás,juntará,juntaremos,juntareis,juntarão
gosto,gostas,gosta,gostamos,gostais,gostam gostava,gostavas,gostava,gostávamos,gostáveis,gostavam gostarei,gostarás,gostará,gostaremos,gostareis,gostarão
sigo,segues,segue,seguimos,seguis,seguem seguia,seguias,seguia,seguíamos,seguíeis,seguiam seguirei,seguirás,seguirá,seguiremos,seguireis,seguirão
supero,superas,supera,superamos,superais,superam superava,superavas,superava,superávamos,superáveis,superavam superarei,superarás,superará,superaremos,superareis,superarão
chamo,chamas,chama,chamamos,chamais,chamam chamava,chamavas,chamava,chamávamos,chamáveis,chamavam chamarei,chamarás,chamará,chamaremos,chamareis,chamarão
lanço,lanças,lança,lançamos,lançais,lançam lançava,lançavas,lançava,lançávamos,lançáveis,lançavam lançarei,lançarás,lançará,lançaremos,lançareis,lançarão
rio,ris,ri,rimos,rides,riem ria,rias,ria,ríamos,ríeis,riam rirei,rirás,rirá,riremos,rireis,rirão
jogo,jogas,joga,jogamos,jogais,jogam jogava,jogavas,jogava,jogávamos,jogáveis,jogavam jogarei,jogarás,jogará,jogaremos,jogareis,jogarão
escolho,escolhes,escolhe,escolhemos,escolheis,escolhem escolhia,escolhias,escolhia,escolhíamos,escolhíeis,escolhiam escolherei,escolherás,escolherá,escolheremos,escolhereis,escolherão
ando,andas,anda,andamos,andais,andam andava,andavas,andava,andávamos,andáveis,andavam andarei,andarás,andará,andaremos,andareis,andarão
combato,combates,combate,combatemos,combateis,combatem combatia,combatias,combatia,combatíamos,combatíeis,combatiam combaterei,combaterás,combaterá,combateremos,combatereis,combaterão
amo,amas,ama,amamos,amais,amam amava,amavas,amava,amávamos,amáveis,amavam amarei,amarás,amará,amaremos,amareis,amarão
canto,cantas,canta,cantamos,cantais,cantam cantava,cantavas,cantava,cantávamos,cantáveis,cantavam cantarei,cantarás,cantará,cantaremos,cantareis,cantarão
danço,danças,dança,dançamos,dançais,dançam dançava,dançavas,dançava,dançávamos,dançáveis dançarei,dançarás,dançará,dançaremos,dançareis,dançarão,dançavam
discuto,discutes,discute,discutimos,discutis,discutem discutia,discutias,discutia,discutíamos,discutíeis,discutiam discutirei,discutirás,discutirá,discutiremos,discutireis,discutirão
compreendo,compreendes,compreende,compreendemos,compreendeis,compreendem compreendia,compreendias,compreendia,compreendíamos,compreendíeis,compreendiam compreenderei,compreenderás,compreenderá,compreenderemos,compreendereis,compreenderão
aprendo,aprendes,aprende,aprendemos,aprendeis,aprendem aprendia,aprendias,aprendia,aprendíamos,aprendíeis,aprendiam aprenderei,aprenderás,aprenderá,aprenderemos,aprendereis,aprenderão
